text,label
a,1
body,0
so,0
big,0
that,0
even,1
light,0
could,0
not,0
escape,1
was,0
briefly,0
proposed,0
by,0
English,1
astronomical,1
pioneer,0
and,1
clergyman,0
John,0
Michell,0
in,1
a,1
letter,0
published,0
in,1
November,0
1784,0
Michell,0
s,0
simplistic,0
calculations,0
assumed,1
such,0
a,1
body,0
might,0
have,0
the,0
same,0
density,0
as,1
the,0
Sun,0
and,1
concluded,0
that,0
one,1
would,0
form,0
when,0
a,1
star,0
s,0
diameter,0
exceeds,1
the,0
Sun,0
s,0
by,0
a,1
factor,0
of,1
500,0
and,1
its,1
surface,0
escape,1
velocity,0
exceeds,1
the,0
usual,1
speed,0
of,1
light,0
Michell,0
correctly,0
noted,0
that,0
such,0
supermassive,0
but,0
non,0
radiating,0
bodies,0
might,0
be,0
detectable,0
through,0
their,0
gravitational,0
effects,1
on,1
nearby,0
visible,0
bodies,0
8,0
12,0
13,0
Scholars,0
of,1
the,0
time,0
were,0
initially,1
excited,1
by,0
the,0
proposal,0
that,0
giant,0
but,0
invisible,1
dark,0
stars,0
might,0
be,0
hiding,0
in,1
plain,0
view,0
but,0
enthusiasm,1
dampened,0
when,0
the,0
wavelike,0
nature,0
of,1
light,0
became,0
apparent,1
in,1
the,0
early,1
nineteenth,0
century,0
14,0
as,1
if,1
light,0
were,0
a,1
wave,0
rather,0
than,0
a,1
particle,0
it,1
was,0
unclear,1
what,0
if,1
any,1
influence,1
gravity,0
would,0
have,0
on,1
escaping,1
light,0
waves,0
8,0
13,0
,0
,0
The,0
modern,0
theory,0
of,1
gravity,0
general,0
relativity,0
discredits,0
Michell,0
s,0
notion,0
of,1
a,1
light,0
ray,0
shooting,0
directly,0
from,0
the,0
surface,0
of,1
a,1
supermassive,0
star,0
being,0
slowed,0
down,0
by,0
the,0
star,0
s,0
gravity,0
stopping,0
and,1
then,0
free,0
falling,0
back,0
to,0
the,0
star,0
s,0
surface,0
15,0
Instead,1
spacetime,0
itself,1
is,1
curved,0
such,0
that,0
the,0
geodesic,0
that,0
light,0
travels,0
on,1
never,0
leaves,0
the,0
surface,0
of,1
the,0
star,0
black,0
hole,0
,0
,0
General,0
relativity,0
See,0
also,1
History,0
of,1
general,0
relativity,0
General,0
relativity,0
Spacetime,0
curvature,0
schematic,0
𝐺,0
𝜇,0
𝜈,0
,0
,0
Λ,0
𝑔,0
𝜇,0
𝜈,0
,0
,0
𝜅,0
𝑇,0
𝜇,0
𝜈,0
displaystyle,0
G_,0
mu,0
nu,0
Lambda,0
g_,0
mu,0
nu,0
kappa,0
T_,0
mu,0
nu,0
,0
Introduction,1
HistoryTimelineTests,0
Mathematical,0
formulation,0
Fundamental,0
concepts,0
Phenomena,0
Kepler,0
problemGravitational,0
lensingGravitational,0
redshiftGravitational,0
time,0
dilationGravitational,0
wavesFrame,0
draggingGeodetic,0
effectEvent,1
horizonSingularityBlack,0
hole,0
Spacetime,0
Spacetime,0
diagramsMinkowski,0
spacetimeEinstein,0
Rosen,0
bridge,0
EquationsFormalisms,1
Solutions,0
Scientists,0
icon,1
Physics,0
portal,0
Category,0
vte,0
In,1
1915,0
Albert,1
Einstein,1
developed,0
his,0
theory,0
of,1
general,0
relativity,0
having,0
earlier,1
shown,0
that,0
gravity,0
does,0
influence,1
light,0
s,0
motion,0
Only,1
a,1
few,0
months,0
later,0
Karl,0
Schwarzschild,0
found,0
a,1
solution,0
to,0
the,0
Einstein,1
field,0
equations,1
that,0
describes,0
the,0
gravitational,0
field,0
of,1
a,1
point,0
mass,0
and,1
a,1
spherical,0
mass,0
16,0
17,0
A,1
few,0
months,0
after,1
Schwarzschild,0
Johannes,0
Droste,0
a,1
student,0
of,1
Hendrik,0
Lorentz,0
independently,1
gave,0
the,0
same,0
solution,0
for,0
the,0
point,0
mass,0
and,1
wrote,0
more,0
extensively,1
about,1
its,1
properties,0
18,0
19,0
This,0
solution,0
had,0
a,1
peculiar,0
behaviour,0
at,1
what,0
is,1
now,0
called,0
the,0
Schwarzschild,0
radius,0
where,0
it,1
became,0
singular,0
meaning,0
that,0
some,0
of,1
the,0
terms,0
in,1
the,0
Einstein,1
equations,1
became,0
infinite,1
The,0
nature,0
of,1
this,0
surface,0
was,0
not,0
quite,0
understood,1
at,1
the,0
time,0
,0
,0
In,1
1924,0
Arthur,1
Eddington,1
showed,0
that,0
the,0
singularity,0
disappeared,0
after,1
a,1
change,0
of,1
coordinates,0
In,1
1933,0
Georges,0
Lemaître,0
realized,0
that,0
this,0
meant,0
the,0
singularity,0
at,1
the,0
Schwarzschild,0
radius,0
was,0
a,1
non,0
physical,0
coordinate,0
singularity,0
20,0
Arthur,1
Eddington,1
commented,0
on,1
the,0
possibility,0
of,1
a,1
star,0
with,0
mass,0
compressed,0
to,0
the,0
Schwarzschild,0
radius,0
in,1
a,1
1926,0
book,0
noting,0
that,0
Einstein,1
s,0
theory,0
allows,1
us,1
to,0
rule,0
out,1
overly,1
large,0
densities,0
for,0
visible,0
stars,0
like,0
Betelgeuse,0
because,0
a,1
star,0
of,1
250,0
million,0
km,0
radius,0
could,0
not,0
possibly,0
have,0
so,0
high,0
a,1
density,0
as,1
the,0
Sun,0
Firstly,0
the,0
force,0
of,1
gravitation,0
would,0
be,0
so,0
great,0
that,0
light,0
would,0
be,0
unable,1
to,0
escape,1
from,0
it,1
the,0
rays,0
falling,0
back,0
to,0
the,0
star,0
like,0
a,1
stone,0
to,0
the,0
earth,1
Secondly,0
the,0
red,0
shift,0
of,1
the,0
spectral,0
lines,0
would,0
be,0
so,0
great,0
that,0
the,0
spectrum,0
would,0
be,0
shifted,0
out,1
of,1
existence,1
Thirdly,0
the,0
mass,0
would,0
produce,0
so,0
much,0
curvature,0
of,1
the,0
spacetime,0
metric,0
that,0
space,0
would,0
close,0
up,1
around,1
the,0
star,0
leaving,0
us,1
outside,1
i,1
e,1
nowhere,0
21,0
22,0
,0
,0
In,1
1931,0
Subrahmanyan,0
Chandrasekhar,0
calculated,0
using,1
special,0
relativity,0
that,0
a,1
non,0
rotating,0
body,0
of,1
electron,1
degenerate,0
matter,0
above,1
a,1
certain,0
limiting,0
mass,0
now,0
called,0
the,0
Chandrasekhar,0
limit,0
at,1
1,0
4,0
M,0
has,0
no,0
stable,0
solutions,0
23,0
His,0
arguments,1
were,0
opposed,1
by,0
many,0
of,1
his,0
contemporaries,0
like,0
Eddington,1
and,1
Lev,0
Landau,0
who,0
argued,1
that,0
some,0
yet,0
unknown,1
mechanism,0
would,0
stop,0
the,0
collapse,0
24,0
They,0
were,0
partly,0
correct,0
a,1
white,0
dwarf,0
slightly,0
more,0
massive,0
than,0
the,0
Chandrasekhar,0
limit,0
will,0
collapse,0
into,1
a,1
neutron,0
star,0
25,0
which,0
is,1
itself,1
stable,0
,0
,0
In,1
1939,0
Robert,0
Oppenheimer,1
and,1
others,1
predicted,0
that,0
neutron,0
stars,0
above,1
another,1
limit,0
the,0
Tolman,0
Oppenheimer,1
Volkoff,0
limit,0
would,0
collapse,0
further,0
for,0
the,0
reasons,0
presented,0
by,0
Chandrasekhar,0
and,1
concluded,0
that,0
no,0
law,0
of,1
physics,0
was,0
likely,0
to,0
intervene,1
and,1
stop,0
at,1
least,0
some,0
stars,0
from,0
collapsing,0
to,0
black,0
holes,0
26,0
Their,0
original,1
calculations,0
based,0
on,1
the,0
Pauli,0
exclusion,1
principle,0
gave,0
it,1
as,1
0,0
7,0
M,0
Subsequent,0
consideration,0
of,1
neutron,0
neutron,0
repulsion,0
mediated,0
by,0
the,0
strong,0
force,0
raised,0
the,0
estimate,1
to,0
approximately,1
1,0
5,0
M,0
to,0
3,0
0,0
M,0
27,0
Observations,1
of,1
the,0
neutron,0
star,0
merger,0
GW170817,0
which,0
is,1
thought,0
to,0
have,0
generated,0
a,1
black,0
hole,0
shortly,0
afterward,1
have,0
refined,0
the,0
TOV,0
limit,0
estimate,1
to,0
2,0
17,0
M,0
28,0
29,0
30,0
31,0
32,0
,0
,0
Oppenheimer,1
and,1
his,0
co,0
authors,1
interpreted,1
the,0
singularity,0
at,1
the,0
boundary,0
of,1
the,0
Schwarzschild,0
radius,0
as,1
indicating,1
that,0
this,0
was,0
the,0
boundary,0
of,1
a,1
bubble,0
in,1
which,0
time,0
stopped,0
This,0
is,1
a,1
valid,0
point,0
of,1
view,0
for,0
external,1
observers,1
but,0
not,0
for,0
infalling,1
observers,1
The,0
hypothetical,0
collapsed,0
stars,0
were,0
called,0
frozen,0
stars,0
because,0
an,1
outside,1
observer,1
would,0
see,0
the,0
surface,0
of,1
the,0
star,0
frozen,0
in,1
time,0
at,1
the,0
instant,1
where,0
its,1
collapse,0
takes,0
it,1
to,0
the,0
Schwarzschild,0
radius,0
33,0
,0
,0
Also,1
in,1
1939,0
Einstein,1
attempted,1
to,0
prove,0
that,0
black,0
holes,0
were,0
impossible,1
in,1
his,0
publication,0
On,1
a,1
Stationary,0
System,0
with,0
Spherical,0
Symmetry,0
Consisting,0
of,1
Many,0
Gravitating,0
Masses,0
using,1
his,0
theory,0
of,1
general,0
relativity,0
to,0
defend,0
his,0
argument,1
34,0
Months,0
later,0
Oppenheimer,1
and,1
his,0
student,0
Hartland,0
Snyder,0
provided,0
the,0
Oppenheimer,1
Snyder,0
model,0
in,1
their,0
paper,0
On,1
Continued,0
Gravitational,0
Contraction,0
35,0
which,0
predicted,0
the,0
existence,1
of,1
black,0
holes,0
In,1
the,0
paper,0
which,0
made,0
no,0
reference,0
to,0
Einstein,1
s,0
recent,0
publication,0
Oppenheimer,1
and,1
Snyder,0
used,1
Einstein,1
s,0
own,1
theory,0
of,1
general,0
relativity,0
to,0
show,0
the,0
conditions,0
on,1
how,0
a,1
black,0
hole,0
could,0
develop,0
for,0
the,0
first,0
time,0
in,1
contemporary,0
physics,0
34,0
,0
,0
Golden,0
age,1
In,1
1958,0
David,0
Finkelstein,0
identified,1
the,0
Schwarzschild,0
surface,0
as,1
an,1
event,1
horizon,0
a,1
perfect,0
unidirectional,1
membrane,0
causal,0
influences,1
can,0
cross,0
it,1
in,1
only,1
one,1
direction,0
36,0
This,0
did,0
not,0
strictly,0
contradict,0
Oppenheimer,1
s,0
results,0
but,0
extended,1
them,0
to,0
include,1
the,0
point,0
of,1
view,0
of,1
infalling,1
observers,1
Finkelstein,0
s,0
solution,0
extended,1
the,0
Schwarzschild,0
solution,0
for,0
the,0
future,0
of,1
observers,1
falling,0
into,1
a,1
black,0
hole,0
A,1
complete,0
extension,1
had,0
already,1
been,0
found,0
by,0
Martin,0
Kruskal,0
who,0
was,0
urged,1
to,0
publish,0
it,1
37,0
,0
,0
These,0
results,0
came,0
at,1
the,0
beginning,0
of,1
the,0
golden,0
age,1
of,1
general,0
relativity,0
which,0
was,0
marked,0
by,0
general,0
relativity,0
and,1
black,0
holes,0
becoming,0
mainstream,0
subjects,0
of,1
research,0
This,0
process,0
was,0
helped,0
by,0
the,0
discovery,0
of,1
pulsars,0
by,0
Jocelyn,0
Bell,0
Burnell,0
in,1
1967,0
38,0
39,0
which,0
by,0
1969,0
were,0
shown,0
to,0
be,0
rapidly,0
rotating,0
neutron,0
stars,0
40,0
Until,1
that,0
time,0
neutron,0
stars,0
like,0
black,0
holes,0
were,0
regarded,0
as,1
just,0
theoretical,0
curiosities,0
but,0
the,0
discovery,0
of,1
pulsars,0
showed,0
their,0
physical,0
relevance,0
and,1
spurred,0
a,1
further,0
interest,1
in,1
all,1
types,0
of,1
compact,0
objects,1
that,0
might,0
be,0
formed,0
by,0
gravitational,0
collapse,0
41,0
,0
,0
In,1
this,0
period,0
more,0
general,0
black,0
hole,0
solutions,0
were,0
found,0
In,1
1963,0
Roy,0
Kerr,0
found,0
the,0
exact,1
solution,0
for,0
a,1
rotating,0
black,0
hole,0
Two,0
years,0
later,0
Ezra,1
Newman,0
found,0
the,0
axisymmetric,1
solution,0
for,0
a,1
black,0
hole,0
that,0
is,1
both,0
rotating,0
and,1
electrically,1
charged,0
42,0
Through,0
the,0
work,0
of,1
Werner,0
Israel,1
43,0
Brandon,0
Carter,0
44,0
45,0
and,1
David,0
Robinson,0
46,0
the,0
no,0
hair,0
theorem,0
emerged,1
stating,0
that,0
a,1
stationary,0
black,0
hole,0
solution,0
is,1
completely,0
described,0
by,0
the,0
three,0
parameters,0
of,1
the,0
Kerr,0
Newman,0
metric,0
mass,0
angular,1
momentum,0
and,1
electric,1
charge,0
47,0
,0
,0
At,1
first,0
it,1
was,0
suspected,0
that,0
the,0
strange,0
features,0
of,1
the,0
black,0
hole,0
solutions,0
were,0
pathological,0
artifacts,1
from,0
the,0
symmetry,0
conditions,0
imposed,1
and,1
that,0
the,0
singularities,0
would,0
not,0
appear,1
in,1
generic,0
situations,0
This,0
view,0
was,0
held,0
in,1
particular,0
by,0
Vladimir,0
Belinsky,0
Isaak,1
Khalatnikov,0
and,1
Evgeny,1
Lifshitz,0
who,0
tried,0
to,0
prove,0
that,0
no,0
singularities,0
appear,1
in,1
generic,0
solutions,0
However,0
in,1
the,0
late,0
1960s,0
Roger,0
Penrose,0
48,0
and,1
Stephen,0
Hawking,0
used,1
global,0
techniques,0
to,0
prove,0
that,0
singularities,0
appear,1
generically,0
49,0
For,0
this,0
work,0
Penrose,0
received,0
half,0
of,1
the,0
2020,0
Nobel,0
Prize,0
in,1
Physics,0
Hawking,0
having,0
died,0
in,1
2018,0
50,0
Based,0
on,1
observations,1
in,1
Greenwich,0
and,1
Toronto,0
in,1
the,0
early,1
1970s,0
Cygnus,0
X,0
1,0
a,1
galactic,0
X,0
ray,0
source,0
discovered,0
in,1
1964,0
became,0
the,0
first,0
astronomical,1
object,1
commonly,0
accepted,1
to,0
be,0
a,1
black,0
hole,0
51,0
52,0
,0
,0
Work,0
by,0
James,0
Bardeen,0
Jacob,0
Bekenstein,0
Carter,0
and,1
Hawking,0
in,1
the,0
early,1
1970s,0
led,0
to,0
the,0
formulation,0
of,1
black,0
hole,0
thermodynamics,0
53,0
These,0
laws,0
describe,0
the,0
behaviour,0
of,1
a,1
black,0
hole,0
in,1
close,0
analogy,1
to,0
the,0
laws,0
of,1
thermodynamics,0
by,0
relating,0
mass,0
to,0
energy,1
area,1
to,0
entropy,1
and,1
surface,0
gravity,0
to,0
temperature,0
The,0
analogy,1
was,0
completed,0
when,0
Hawking,0
in,1
1974,0
showed,0
that,0
quantum,0
field,0
theory,0
implies,1
that,0
black,0
holes,0
should,0
radiate,0
like,0
a,1
black,0
body,0
with,0
a,1
temperature,0
proportional,0
to,0
the,0
surface,0
gravity,0
of,1
the,0
black,0
hole,0
predicting,0
the,0
effect,1
now,0
known,0
as,1
Hawking,0
radiation,0
54,0
,0
,0
Observation,1
On,1
11,0
February,0
2016,0
the,0
LIGO,0
Scientific,0
Collaboration,0
and,1
the,0
Virgo,0
collaboration,0
announced,1
the,0
first,0
direct,0
detection,0
of,1
gravitational,0
waves,0
representing,0
the,0
first,0
observation,1
of,1
a,1
black,0
hole,0
merger,0
55,0
On,1
10,0
April,1
2019,0
the,0
first,0
direct,0
image,1
of,1
a,1
black,0
hole,0
and,1
its,1
vicinity,0
was,0
published,0
following,0
observations,1
made,0
by,0
the,0
Event,1
Horizon,0
Telescope,0
EHT,1
in,1
2017,0
of,1
the,0
supermassive,0
black,0
hole,0
in,1
Messier,0
87,0
s,0
galactic,0
centre,0
56,0
57,0
58,0
As,1
of,1
2023,0
the,0
nearest,0
known,0
body,0
thought,0
to,0
be,0
a,1
black,0
hole,0
Gaia,0
BH1,0
is,1
around,1
1,0
560,0
light,0
years,0
480,0
parsecs,0
away,1
59,0
Though,0
only,1
a,1
couple,0
dozen,0
black,0
holes,0
have,0
been,0
found,0
so,0
far,0
in,1
the,0
Milky,0
Way,0
there,0
are,1
thought,0
to,0
be,0
hundreds,0
of,1
millions,0
most,0
of,1
which,0
are,1
solitary,0
and,1
do,0
not,0
cause,0
emission,1
of,1
radiation,0
60,0
Therefore,0
they,0
would,0
only,1
be,0
detectable,0
by,0
gravitational,0
lensing,0
,0
,0
Etymology,1
John,0
Michell,0
used,1
the,0
term,0
dark,0
star,0
in,1
a,1
November,0
1783,0
letter,0
to,0
Henry,0
Cavendish,0
61,0
and,1
in,1
the,0
early,1
20th,0
century,0
physicists,0
used,1
the,0
term,0
gravitationally,0
collapsed,0
object,1
Science,0
writer,0
Marcia,0
Bartusiak,0
traces,0
the,0
term,0
black,0
hole,0
to,0
physicist,0
Robert,0
H,0
Dicke,0
who,0
in,1
the,0
early,1
1960s,0
reportedly,0
compared,0
the,0
phenomenon,0
to,0
the,0
Black,0
Hole,0
of,1
Calcutta,0
notorious,0
as,1
a,1
prison,0
where,0
people,0
entered,1
but,0
never,0
left,0
alive,1
62,0
,0
,0
The,0
term,0
black,0
hole,0
was,0
used,1
in,1
print,0
by,0
Life,0
and,1
Science,0
News,0
magazines,0
in,1
1963,0
62,0
and,1
by,0
science,0
journalist,0
Ann,1
Ewing,1
in,1
her,0
article,1
Black,0
Holes,0
in,1
Space,0
dated,0
18,0
January,0
1964,0
which,0
was,0
a,1
report,0
on,1
a,1
meeting,0
of,1
the,0
American,1
Association,1
for,0
the,0
Advancement,1
of,1
Science,0
held,0
in,1
Cleveland,0
Ohio,1
63,0
64,0
,0
,0
In,1
December,0
1967,0
a,1
student,0
reportedly,0
suggested,0
the,0
phrase,0
black,0
hole,0
at,1
a,1
lecture,0
by,0
John,0
Wheeler,0
63,0
Wheeler,0
adopted,1
the,0
term,0
for,0
its,1
brevity,0
and,1
advertising,1
value,0
and,1
it,1
quickly,0
caught,0
on,1
65,0
leading,0
some,0
to,0
credit,0
Wheeler,0
with,0
coining,0
the,0
phrase,0
66,0
,0
,0
Properties,0
and,1
structure,0
The,0
no,0
hair,0
theorem,0
postulates,0
that,0
once,1
it,1
achieves,1
a,1
stable,0
condition,0
after,1
formation,0
a,1
black,0
hole,0
has,0
only,1
three,0
independent,1
physical,0
properties,0
mass,0
electric,1
charge,0
and,1
angular,1
momentum,0
the,0
black,0
hole,0
is,1
otherwise,1
featureless,0
If,1
the,0
conjecture,0
is,1
true,0
any,1
two,0
black,0
holes,0
that,0
share,0
the,0
same,0
values,0
for,0
these,0
properties,0
or,1
parameters,0
are,1
indistinguishable,1
from,0
one,1
another,1
The,0
degree,0
to,0
which,0
the,0
conjecture,0
is,1
true,0
for,0
real,0
black,0
holes,0
under,1
the,0
laws,0
of,1
modern,0
physics,0
is,1
currently,0
an,1
unsolved,1
problem,0
47,0
,0
,0
These,0
properties,0
are,1
special,0
because,0
they,0
are,1
visible,0
from,0
outside,1
a,1
black,0
hole,0
For,0
example,1
a,1
charged,0
black,0
hole,0
repels,0
other,1
like,0
charges,0
just,0
like,0
any,1
other,1
charged,0
object,1
Similarly,0
the,0
total,0
mass,0
inside,1
a,1
sphere,0
containing,0
a,1
black,0
hole,0
can,0
be,0
found,0
by,0
using,1
the,0
gravitational,0
analog,1
of,1
Gauss,0
s,0
law,0
through,0
the,0
ADM,1
mass,0
far,0
away,1
from,0
the,0
black,0
hole,0
67,0
Likewise,0
the,0
angular,1
momentum,0
or,1
spin,0
can,0
be,0
measured,0
from,0
far,0
away,1
using,1
frame,0
dragging,0
by,0
the,0
gravitomagnetic,0
field,0
through,0
for,0
example,1
the,0
Lense,0
Thirring,0
effect,1
68,0
,0
,0
,0
An,1
artistic,1
depiction,0
of,1
a,1
black,0
hole,0
and,1
its,1
features,0
When,0
an,1
object,1
falls,0
into,1
a,1
black,0
hole,0
any,1
information,1
about,1
the,0
shape,0
of,1
the,0
object,1
or,1
distribution,0
of,1
charge,0
on,1
it,1
is,1
evenly,1
distributed,0
along,1
the,0
horizon,0
of,1
the,0
black,0
hole,0
and,1
is,1
lost,0
to,0
outside,1
observers,1
The,0
behavior,0
of,1
the,0
horizon,0
in,1
this,0
situation,0
is,1
a,1
dissipative,0
system,0
that,0
is,1
closely,0
analogous,1
to,0
that,0
of,1
a,1
conductive,0
stretchy,0
membrane,0
with,0
friction,0
and,1
electrical,1
resistance,0
the,0
membrane,0
paradigm,0
69,0
This,0
is,1
different,0
from,0
other,1
field,0
theories,0
such,0
as,1
electromagnetism,1
which,0
do,0
not,0
have,0
any,1
friction,0
or,1
resistivity,0
at,1
the,0
microscopic,0
level,0
because,0
they,0
are,1
time,0
reversible,0
70,0
71,0
,0
,0
Because,0
a,1
black,0
hole,0
eventually,1
achieves,1
a,1
stable,0
state,0
with,0
only,1
three,0
parameters,0
there,0
is,1
no,0
way,0
to,0
avoid,1
losing,0
information,1
about,1
the,0
initial,1
conditions,0
the,0
gravitational,0
and,1
electric,1
fields,0
of,1
a,1
black,0
hole,0
give,0
very,0
little,0
information,1
about,1
what,0
went,0
in,1
The,0
information,1
that,0
is,1
lost,0
includes,1
every,1
quantity,0
that,0
cannot,0
be,0
measured,0
far,0
away,1
from,0
the,0
black,0
hole,0
horizon,0
including,1
approximately,1
conserved,0
quantum,0
numbers,0
such,0
as,1
the,0
total,0
baryon,0
number,0
and,1
lepton,0
number,0
This,0
behavior,0
is,1
so,0
puzzling,0
that,0
it,1
has,0
been,0
called,0
the,0
black,0
hole,0
information,1
loss,0
paradox,0
72,0
73,0
,0
,0
Physical,0
properties,0
,0
An,1
animation,1
of,1
how,0
light,0
rays,0
can,0
be,0
gravitationally,0
bent,0
The,0
simplest,0
static,0
black,0
holes,0
have,0
mass,0
but,0
neither,0
electric,1
charge,0
nor,0
angular,1
momentum,0
These,0
black,0
holes,0
are,1
often,1
referred,0
to,0
as,1
Schwarzschild,0
black,0
holes,0
after,1
Karl,0
Schwarzschild,0
who,0
discovered,0
this,0
solution,0
in,1
1916,0
17,0
According,1
to,0
Birkhoff,0
s,0
theorem,0
it,1
is,1
the,0
only,1
vacuum,0
solution,0
that,0
is,1
